channel,last_touch,markov_mle,post_median,ci94_lo,ci94_hi,removal_effect_med,conv_credit_med
Social,0.06827492034592626,0.16792623568249426,0.16802077256553305,0.16251760346878374,0.17394370549757437,0.28092298784739217,369.1416373264761
Display,0.024123805188893947,0.09507861171497406,0.09523868630296786,0.0914193382423978,0.09941069890041163,0.1592493599572563,209.2393938076204
Search,0.3450159308147474,0.2968117441288367,0.2965109843154815,0.2871924039756831,0.3059344689806457,0.4956947742377256,651.4346325411128
Email,0.20710059171597633,0.1896919866953146,0.18959479281309097,0.1815973319805646,0.19797267720295872,0.31684829160761807,416.53975981036086
Direct,0.35548475193445606,0.25049142177838046,0.25037954915364846,0.24037445239497823,0.2601098367040248,0.41866344726988797,550.0838694905657
